type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more,Total Pop,id,County Name
county,6065,a,U,T,100,34998,0,0,0,34998,06065,Riverside County
county,6067,a,R,N,100,37730,1240,0,0,38970,06067,Sacramento County
county,6067,a,U,N,100,852407,657693,2984,0,1513084,06067,Sacramento County
county,6069,a,R,N,100,18514,485,0,0,18999,06069,San Benito County
county,6069,a,U,N,100,20823,22980,0,0,43803,06069,San Benito County
county,6071,a,R,N,100,161822,779,0,0,162601,06071,San Bernardino County
county,6071,a,R,T,100,2885,59,0,0,2944,06071,San Bernardino County
county,6071,a,U,N,100,1738938,275120,0,0,2014058,06071,San Bernardino County
county,6071,a,U,T,100,470,0,0,0,470,06071,San Bernardino County
county,6073,a,R,N,100,124845,15938,0,0,140783,06073,San Diego County
county,6073,a,R,T,100,9303,340,0,0,9643,06073,San Diego County
county,6073,a,U,N,100,1085332,2102190,0,0,3187522,06073,San Diego County
county,6073,a,U,T,100,382,0,0,0,382,06073,San Diego County
county,6075,a,R,N,100,2,0,0,0,2,06075,San Francisco County
county,6075,a,U,N,100,520698,344669,16180,0,881547,06075,San Francisco County
county,6077,a,R,N,100,72406,3072,0,0,75478,06077,San Joaquin County
county,6077,a,U,N,100,391795,294869,0,0,686664,06077,San Joaquin County
county,6079,a,R,N,100,53126,0,0,0,53126,06079,San Luis Obispo County
county,6079,a,U,N,100,229985,0,0,0,229985,06079,San Luis Obispo County
county,6081,a,R,N,100,15041,2580,0,0,17621,06081,San Mateo County
county,6081,a,U,N,100,321245,411095,16612,0,748952,06081,San Mateo County
