type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more
county,06015,acfosw,U,N,0.2,0,0,0,18348
county,06015,acfosw,U,T,0.2,0,0,0,86
county,06017,acfosw,R,N,0.2,0,0,0,70127
county,06017,acfosw,R,T,0.2,0,0,0,109
county,06017,acfosw,U,N,0.2,0,0,0,122605
county,06019,acfosw,R,N,0.2,0,1,1,131389
county,06019,acfosw,R,T,0.2,0,0,0,441
county,06019,acfosw,U,N,0.2,0,0,1,867261
county,06021,acfosw,R,N,0.2,0,1,2,11713
county,06021,acfosw,R,T,0.2,0,0,0,165
county,06021,acfosw,U,N,0.2,0,0,0,16512
county,06023,acfosw,R,N,0.2,0,0,0,37592
county,06023,acfosw,R,T,0.2,0,0,0,4051
county,06023,acfosw,U,N,0.2,0,0,0,93833
county,06023,acfosw,U,T,0.2,0,0,0,82
county,06025,acfosw,R,N,0.2,0,0,0,34290
county,06025,acfosw,R,T,0.2,0,0,0,1997
county,06025,acfosw,U,N,0.2,0,0,0,144385
county,06025,acfosw,U,T,0.2,0,0,0,543
county,06027,acfosw,R,N,0.2,0,0,0,7613
county,06027,acfosw,R,T,0.2,0,0,0,823
county,06027,acfosw,U,N,0.2,0,0,0,8092
county,06027,acfosw,U,T,0.2,0,0,0,1511
county,06029,acfosw,R,N,0.2,0,2,2,128887
county,06029,acfosw,U,N,0.2,0,0,0,771306
county,06031,acfosw,R,N,0.2,0,0,0,17868
county,06031,acfosw,R,T,0.2,0,0,0,668
county,06031,acfosw,U,N,0.2,0,0,0,134393
county,06033,acfosw,R,N,0.2,0,0,0,21581
county,06033,acfosw,R,T,0.2,0,0,0,375
county,06033,acfosw,U,N,0.2,0,0,0,42249
county,06033,acfosw,U,T,0.2,0,0,0,181
county,06035,acfosw,R,N,0.2,0,0,0,20059
county,06035,acfosw,R,T,0.2,0,0,0,390
county,06035,acfosw,U,N,0.2,0,0,0,9965
county,06035,acfosw,U,T,0.2,0,0,0,159
county,06037,acfosw,R,N,0.2,0,1,1,91109
county,06037,acfosw,U,N,0.2,0,14,34,9947948
county,06039,acfosw,R,N,0.2,0,0,0,54823
county,06039,acfosw,R,T,0.2,0,0,0,142
county,06039,acfosw,U,N,0.2,0,0,0,102362
county,06041,acfosw,R,N,0.2,0,0,0,17849
county,06041,acfosw,U,N,0.2,0,0,0,240977
county,06043,acfosw,R,N,0.2,0,0,0,17203
county,06045,acfosw,R,N,0.2,0,0,0,39077
county,06045,acfosw,R,T,0.2,0,0,0,1021
county,06045,acfosw,U,N,0.2,0,0,0,46064
county,06045,acfosw,U,T,0.2,0,0,0,587
county,06047,acfosw,R,N,0.2,0,0,0,48277
county,06047,acfosw,U,N,0.2,0,0,0,229400
county,06049,acfosw,R,N,0.2,0,0,0,6152
county,06049,acfosw,R,T,0.2,0,0,0,153
county,06049,acfosw,U,N,0.2,0,0,0,2536
county,06051,acfosw,R,N,0.2,0,0,0,7027
county,06051,acfosw,R,T,0.2,0,0,0,122
county,06051,acfosw,U,N,0.2,0,0,0,7295
county,06053,acfosw,R,N,0.2,0,0,0,53536
county,06053,acfosw,U,N,0.2,0,0,0,380525
county,06055,acfosw,R,N,0.2,0,0,0,19567
county,06055,acfosw,U,N,0.2,0,0,0,118177
county,06057,acfosw,R,N,0.2,0,0,0,42767
county,06057,acfosw,U,N,0.2,0,0,0,56988
county,06059,acfosw,R,N,0.2,0,0,1,13077
county,06059,acfosw,U,N,0.2,0,6,9,3162599
county,06061,acfosw,R,N,0.2,0,1,1,69838
county,06061,acfosw,R,T,0.2,0,0,0,12
county,06061,acfosw,U,N,0.2,0,0,0,328472
county,06063,acfosw,R,N,0.2,0,0,0,13903
county,06063,acfosw,R,T,0.2,0,0,0,33
county,06063,acfosw,U,N,0.2,0,0,0,4871
county,06065,acfosw,R,N,0.2,0,3,8,172154
county,06065,acfosw,R,T,0.2,0,0,0,7767
county,06065,acfosw,U,N,0.2,0,1,5,2255602
county,06065,acfosw,U,T,0.2,0,0,4,34994
county,06067,acfosw,R,N,0.2,0,3,4,38963
county,06067,acfosw,U,N,0.2,0,4,4,1513076
county,06069,acfosw,R,N,0.2,0,0,0,18999
county,06069,acfosw,U,N,0.2,0,0,0,43803
county,06071,acfosw,R,N,0.2,0,3,2,162596
county,06071,acfosw,R,T,0.2,0,0,0,2944
county,06071,acfosw,U,N,0.2,0,0,0,2014058
county,06071,acfosw,U,T,0.2,0,0,0,470
county,06073,acfosw,R,N,0.2,0,2,2,140779
county,06073,acfosw,R,T,0.2,0,0,0,9643
county,06073,acfosw,U,N,0.2,0,5,0,3187517
county,06073,acfosw,U,T,0.2,0,0,0,382
county,06075,acfosw,R,N,0.2,0,1,0,1
county,06075,acfosw,U,N,0.2,0,0,1,881546
county,06077,acfosw,R,N,0.2,0,0,5,75473
county,06077,acfosw,U,N,0.2,0,0,13,686651
county,06079,acfosw,R,N,0.2,0,3,1,53122
county,06079,acfosw,U,N,0.2,0,0,0,229985
county,06081,acfosw,R,N,0.2,0,0,1,17620
county,06081,acfosw,U,N,0.2,0,1,1,748950
county,06083,acfosw,R,N,0.2,0,4,0,30521
county,06083,acfosw,R,T,0.2,0,0,0,3
county,06083,acfosw,U,N,0.2,0,0,0,415676
county,06083,acfosw,U,T,0.2,0,0,0,295
county,06085,acfosw,R,N,0.2,0,0,0,31218
county,06085,acfosw,U,N,0.2,0,0,0,1896634
county,06087,acfosw,R,N,0.2,0,0,0,35814
county,06087,acfosw,U,N,0.2,0,0,0,237399
county,06089,acfosw,R,N,0.2,0,0,0,53858
county,06089,acfosw,R,T,0.2,0,0,0,42
county,06089,acfosw,U,N,0.2,0,0,0,126146
